,Np,Nt,Kp,Kt,A,lp,Rg,E2E,zd,Angle,lb,lt,sd_lp,sd_Rg,sd_zd,sd_E2E,sd_dot
32,9.0,8.0,8.0,0.25,60.0,6.695162656391765,2.233224313545365,6.484487628228046,4.670587854295409,2.355147746146175,0.9708500421284185,0.9711181198813453,0.07105297259731132,0.019790003565684552,0.8064450148544319,0.7516958163580124,0.39989819511922936
33,9.0,8.0,16.0,0.25,60.0,14.260266191099879,2.3694291162523546,7.1175360309853515,4.6711620314570865,2.599777360356094,0.9705088534864302,0.9705475403698662,0.10753981380397747,0.007331756432697459,0.7564720032596666,0.43347995007035395,0.28204690665828935
34,9.0,8.0,32.0,0.25,60.0,28.53181717349786,2.434106618014027,7.426456589504364,4.599848766796407,2.7554592362147408,0.9698551740899212,0.9715454104757364,0.11814476584247958,0.002353943927065743,0.7417848744912656,0.2166314367754625,0.18613691015259534
35,9.0,8.0,64.0,0.25,60.0,57.725624683158365,2.471010177279452,7.5953186955278005,4.622227642654691,2.8674130454915994,0.9705666369745279,0.9715629866041152,0.4181006953683772,0.0014933556519831743,0.6782324349987394,0.1474132566732058,0.139735017566289
36,9.0,8.0,0.25,0.25,50.0,0.9566204277753635,1.5213668382113865,3.7269414989885754,5.093553968942116,1.7593950939688514,0.9708680360474546,0.9710765581467946,0.018419926701673407,0.04427033277084201,0.7584510641514596,1.0504258958474695,0.6022293107736754
37,9.0,8.0,0.5,0.25,50.0,1.0598316489544315,1.5589600279420701,3.8654755357376596,5.147028993053893,1.766767034804967,0.9710888600519872,0.9713974205720953,0.02845730902472238,0.051239219029069624,0.7835014085744066,1.1121304865110848,0.6054955930360718
38,9.0,8.0,1.0,0.25,50.0,1.2978910390812677,1.6274221258997492,3.9650655056425994,5.200803495648703,1.6963190715495065,0.971470442995009,0.9722059370070139,0.03171611903063965,0.05747738892147921,0.8367141278010215,1.2253096976030284,0.6170374353927116
39,9.0,8.0,2.0,0.25,50.0,1.7482366155477491,1.7626424083004364,4.4897838068175835,5.237139622155689,1.8372050215790734,0.970951642938397,0.9701880885008424,0.021535789810843725,0.05751810438717658,0.7501977701543786,1.1974305849701465,0.5739287530226199
40,9.0,8.0,4.0,0.25,50.0,3.1533995210604187,1.9994435073035794,5.434360251822384,5.169161811377244,2.0404549723538463,0.9699724551752053,0.971954543979061,0.06222267758453158,0.0517203996885499,0.6904930640630842,1.1785355296236746,0.5516113550879926
41,9.0,8.0,8.0,0.25,50.0,6.69344921570101,2.231383875483076,6.476933382516314,5.197850274451097,2.3576149079992956,0.9691744850737096,0.9706045858653559,0.06784186550939547,0.020984717417440905,0.725731359877257,0.7588947577286446,0.39611176169683193
42,9.0,8.0,16.0,0.25,50.0,13.958589338831441,2.3670196718964402,7.097501268758821,5.148036397604791,2.5886837219071346,0.9699484254201753,0.9705683529044963,0.14040416789788102,0.006067685603986895,0.6606376278812083,0.4129209304541871,0.2748614099290757
43,9.0,8.0,32.0,0.25,50.0,28.398213842167955,2.435623466688077,7.429297891683179,5.153806153293412,2.7520981220972147,0.9707594965878134,0.9714074380615866,0.279606770632021,0.0024530959411322092,0.6232030509557704,0.23160611099950354,0.20140929590314371
44,9.0,8.0,64.0,0.25,50.0,59.84681660641341,2.4732353618612075,7.602778819895734,5.1494610768063875,2.8817499424876662,0.9707157529814021,0.9706802691318248,0.18012077494108097,0.0013703240673613507,0.5980049303353323,0.14204282555460426,0.1434524976251745
45,9.0,8.0,0.25,0.25,40.0,0.9684685623708325,1.5197389630218836,3.7008639797154443,5.7083089860279435,1.7192847596637038,0.9708386345281433,0.972150413835002,0.029061065604579554,0.04220091042478039,0.6881087529864017,1.0251800642662712,0.59460920668693
46,9.0,8.0,0.5,0.25,40.0,1.0728478284490455,1.561201930801967,3.7922938427629638,5.801383407185629,1.724165347219719,0.9710265047814584,0.9707532970922907,0.02381313286934919,0.04627908393397351,0.6990053798259486,1.0872200686832727,0.6042286623539286
47,9.0,8.0,1.0,0.25,40.0,1.2053435902237484,1.6000577262764408,3.8732067878094742,5.720913275449101,1.7261658568043803,0.9695560258704113,0.9705250598387806,0.021847985572170832,0.05364941542305623,0.7025572322045303,1.1312656790960343,0.5955633398234594
48,9.0,8.0,2.0,0.25,40.0,1.6393039711065065,1.722622126497394,4.292598599325474,5.758678774451097,1.733754432935053,0.9702545833821598,0.971487824389806,0.06298482824930499,0.05708208517652019,0.6955960399463592,1.2170934532969917,0.5988605312515002
49,9.0,8.0,4.0,0.25,40.0,2.862560961162185,1.9602854706990815,5.240240333025486,5.844868031936127,1.948194808883456,0.9702073696914396,0.9721088189262771,0.10518777806842189,0.05489574772280094,0.6431993867961233,1.1930513486160306,0.546586994654266
50,9.0,8.0,8.0,0.25,40.0,5.645380871932878,2.1920613801341786,6.257340022802203,5.82029301996008,2.2479718540437132,0.9699525622844463,0.9711813803687689,0.21401495065508866,0.023779456068683105,0.6198292806680535,0.8361260184739091,0.42277341273398905
51,9.0,8.0,16.0,0.25,40.0,12.24328219985715,2.3485036219204436,7.004895554068696,5.836865367265469,2.5215152309011435,0.9698175870120057,0.9721737416887946,0.339367021449603,0.007023726247882383,0.588930189871642,0.45518214241765453,0.2957490618182925
52,9.0,8.0,32.0,0.25,40.0,25.558282434731904,2.4255482094622254,7.379090318553356,5.91049768263473,2.7237162080636454,0.9690743808108598,0.9724863276162288,0.4909511545349877,0.003068830572731282,0.4810421541790144,0.2651921585065753,0.21622026612613793
53,9.0,8.0,64.0,0.25,40.0,56.12943429192294,2.467836420988456,7.581085116940651,5.91984117764471,2.8551282715445416,0.9694188236363521,0.9724100892287366,0.8898032087062674,0.0014121374619446303,0.46224387615794255,0.14269559779099483,0.13720359737933324
54,9.0,8.0,0.25,0.25,30.0,0.9168183270793742,1.4697397223633155,3.367725935081415,6.492790003992017,1.538870917990446,0.9713534131138638,0.9758449096514812,0.044251884674666536,0.03834503877163219,0.5940860082952162,1.0360010911730255,0.5909970761100909
55,9.0,8.0,0.5,0.25,30.0,0.9492406294026184,1.4798221244748635,3.423022188120062,6.533678323353294,1.5346114915238636,0.9710951236967591,0.9767816723519192,0.044734758050055085,0.03972721799116747,0.60763419096125,1.0507039287790603,0.5632611703251162
56,9.0,8.0,1.0,0.25,30.0,1.112711575128546,1.5395208724198086,3.5802638852770894,6.547913033932136,1.541346908179753,0.9693803435227174,0.9761406475051483,0.06736265069432934,0.045513625808289264,0.6091377154712699,1.1272926619759283,0.5773929971118609
57,9.0,8.0,2.0,0.25,30.0,1.443610010289936,1.6440184161885514,3.8864400023199774,6.652930958083832,1.5295023384633726,0.9712466346182256,0.9752393062579373,0.13754639098074362,0.05090080021031528,0.5779682357234432,1.162939833961296,0.54820252139585
58,9.0,8.0,4.0,0.25,30.0,2.243165312237964,1.8521460448863363,4.675522961175552,6.643884051896207,1.7141053980689063,0.9690541928685031,0.9766312145751336,0.21677772022975592,0.05014491060881894,0.5935459761546115,1.2003181176439088,0.5343053945393977
59,9.0,8.0,8.0,0.25,30.0,4.125241627059263,2.0988581176072043,5.75652294621966,6.749019321357285,1.9972166982817707,0.9692118342886333,0.9760686239849009,0.38810579211414215,0.026631037676301546,0.501491373722124,0.9092957761307532,0.4269990885050702
60,9.0,8.0,16.0,0.25,30.0,7.651368152412172,2.268183050853804,6.554905712117515,6.764125948103794,2.258582964417368,0.9687786720879854,0.9772190512553748,0.7112472878060326,0.011033733623405243,0.46494309498067493,0.5697294836643194,0.3250257772251082
61,9.0,8.0,32.0,0.25,30.0,16.57124178735726,2.38557332914468,7.162891737778946,6.711489640718563,2.566999133273682,0.967699987293878,0.9769282578240244,1.0852954519421398,0.0047587944182341975,0.47735733263774704,0.3612035373334939,0.26623999049530045
62,9.0,8.0,64.0,0.25,30.0,44.36839394000764,2.45493950983745,7.525233337976471,6.603359121756487,2.818361408529078,0.9682096164800267,0.9791443266496719,1.3573415385520944,0.0018918128949001877,0.44139339634452396,0.18437088683629244,0.17633003604780947
63,17.0,8.0,0.25,0.25,90.0,1.1227677698251344,2.385364324726567,5.846185865785985,3.8095758752495006,1.6833999289857056,0.9714603561784892,0.9710795628499251,0.05991906899167745,0.1413448861063948,1.1709149898583155,1.9065286058826374,0.6406902969652685
64,17.0,8.0,0.5,0.25,90.0,1.2498219323527489,2.4449002271123867,6.011488821087873,3.860499504191617,1.7152561911144075,0.9708637380513143,0.9713593491261117,0.0457627454293487,0.17011695218476955,1.2085520959678806,1.978323203589865,0.6519141774894307
65,17.0,8.0,1.0,0.25,90.0,1.4917614552821363,2.5902341548536847,6.454867070955367,3.8451339121756494,1.702787488081255,0.9710760176045691,0.9714575599004245,0.04789933914429351,0.17925080675191796,1.159880148547879,2.041029539820696,0.606836118534765
